,Strategic Asset Classes,,,,,,,,,,,,,,,,,,,,,
Name,JPM US CASH 3M - TOT RETURN IND,Barclays Global Aggregate - Government USD - Month-to-Date Rtn - TOTAL RETURN,Barclays Global Aggregate - Corporate USD - Month-to-Date Rtn - TOTAL RETURN,BOFA ML US HY MASTER II ($) - TOT RETURN IND,JPM EMBI GLOBAL COMPOSITE - TOT RETURN IND,SWISS PERFORMANCE INDEX - TOT RETURN IND,MSCI NORTH AMERICA U$ - TOT RETURN IND,MSCI EMU U$ - TOT RETURN IND,MSCI UK U$ - TOT RETURN IND,MSCI PACIFIC U$ - TOT RETURN IND,MSCI EM U$ - TOT RETURN IND,MSCI WORLD :S U$ - TOT RETURN IND,,,,,,,,,,
Code,JPUS3ML(RI),LHGAGOV(TOTR),LHGACRP(TOTR),MLHMAU$(RI),JPMGTOT(RI),SWSPIXD(RI)~U$,MSNAMR$(RI),MSEMUI$(RI),MSUTDK$(RI),MSPACF$(RI),MSEMKF$(RI),MSSWLD$(RI),,,,,,,,,,
CURRENCY,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,,,,,,,,,,
31/5/1999,0.42%,-0.86%,-1.37%,-0.92%,-5.16%,-4.87%,-2.34%,-4.46%,-5.54%,-5.94%,-0.58%,1.46%,,,,,,,,,,
30/6/1999,0.37%,0.29%,-0.62%,-0.25%,3.84%,-1.06%,5.34%,2.76%,0.26%,9.22%,11.35%,4.52%,,,,,,,,,,
30/7/1999,0.46%,-0.01%,-0.58%,0.11%,-1.67%,4.14%,-3.09%,-0.28%,1.52%,7.63%,-2.72%,-2.74%,,,,,,,,,,
31/8/1999,0.45%,0.26%,-0.22%,-1.03%,0.06%,0.19%,-0.67%,2.19%,-0.39%,-1.00%,0.91%,-3.70%,,,,,,,,,,
30/9/1999,0.34%,0.87%,1.05%,-0.40%,3.14%,0.16%,-2.75%,-0.46%,-1.61%,4.63%,-3.38%,0.02%,,,,,,,,,,
29/10/1999,0.61%,0.02%,0.52%,-0.59%,3.54%,1.38%,6.55%,4.18%,2.92%,3.88%,2.13%,0.41%,,,,,,,,,,
30/11/1999,0.54%,-0.02%,0.07%,1.35%,2.68%,-0.71%,2.22%,3.66%,1.23%,4.98%,8.97%,5.97%,,,,,,,,,,
31/12/1999,0.54%,-0.39%,-0.62%,0.60%,4.63%,2.35%,7.27%,13.66%,5.70%,6.55%,12.72%,11.32%,,,,,,,,,,
31/1/2000,0.52%,-0.48%,-0.34%,-0.38%,-1.54%,-8.54%,-5.12%,-6.07%,-9.16%,-4.81%,0.60%,-1.61%,,,,,,,,,,
29/2/2000,0.50%,0.83%,0.91%,0.21%,5.37%,-0.77%,-2.01%,9.13%,-3.16%,-2.18%,1.32%,16.51%,,,,,,,,,,
31/3/2000,0.50%,1.36%,0.89%,-1.47%,2.72%,7.20%,9.94%,-0.25%,7.37%,6.95%,0.49%,-6.59%,,,,,,,,,,
28/4/2000,0.45%,-0.19%,-0.59%,-0.05%,-1.84%,-3.61%,-3.25%,-4.87%,-4.17%,-6.94%,-9.48%,-6.02%,,,,,,,,,,
31/5/2000,0.55%,0.42%,-0.41%,-1.21%,-2.31%,5.66%,-2.60%,-0.17%,-3.38%,-5.80%,-4.13%,-5.83%,,,,,,,,,,
30/6/2000,0.60%,1.66%,2.30%,1.93%,4.66%,4.70%,2.87%,2.89%,0.93%,7.73%,3.52%,8.72%,,,,,,,,,,
31/7/2000,0.60%,0.65%,1.21%,0.54%,2.85%,1.31%,-1.54%,-2.95%,0.68%,-9.51%,-5.14%,-3.22%,,,,,,,,,,
31/8/2000,0.59%,1.14%,1.31%,0.98%,3.19%,-1.12%,5.39%,-2.40%,1.06%,5.46%,0.49%,7.63%,,,,,,,,,,
